,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,"('city', 0.0188)","('television', 0.0417)","('win', 0.0263)","('official', 0.0199)","('fly', 0.0144)","('vote', 0.019)","('music', 0.0225)","('life', 0.0189)","('states', 0.0147)","('case', 0.021)","('mrs', 0.0455)","('group', 0.02)","('computer', 0.0146)","('country', 0.0138)","('school', 0.0488)","('food', 0.0183)","('team', 0.0302)","('pay', 0.0192)","('car', 0.0195)","('question', 0.0144)","('thing', 0.0134)","('drug', 0.0228)","('police', 0.0288)","('company', 0.0234)","('art', 0.0181)"
1,"('building', 0.0179)","('film', 0.0179)","('second', 0.0233)","('plant', 0.0171)","('mile', 0.0139)","('campaign', 0.0161)","('play', 0.0175)","('book', 0.0184)","('government', 0.0145)","('court', 0.0204)","('father', 0.0437)","('director', 0.0174)","('system', 0.0127)","('american', 0.0118)","('student', 0.0336)","('serve', 0.0092)","('game', 0.0289)","('money', 0.017)","('street', 0.0144)","('editor', 0.0143)","('little', 0.0092)","('doctor', 0.0152)","('kill', 0.023)","('market', 0.0187)","('artist', 0.0114)"
2,"('build', 0.0168)","('movie', 0.0166)","('third', 0.0165)","('cause', 0.0154)","('travel', 0.0132)","('political', 0.0155)","('performance', 0.0134)","('write', 0.0157)","('official', 0.0133)","('lawyer', 0.0203)","('son', 0.0401)","('percent', 0.0168)","('company', 0.0118)","('world', 0.0094)","('child', 0.0221)","('fresh', 0.0085)","('player', 0.025)","('cost', 0.0142)","('home', 0.0125)","('issue', 0.0104)","('feel', 0.0091)","('health', 0.0147)","('man', 0.0163)","('percent', 0.0176)","('collection', 0.0104)"
3,"('project', 0.0164)","('news', 0.0133)","('victory', 0.0156)","('state', 0.0137)","('air', 0.0128)","('republican', 0.0134)","('theater', 0.0098)","('man', 0.0119)","('american', 0.0132)","('law', 0.0192)","('president', 0.0317)","('agency', 0.0148)","('technology', 0.0112)","('americans', 0.0079)","('class', 0.0174)","('dry', 0.0084)","('play', 0.0215)","('tax', 0.0122)","('room', 0.0121)","('article', 0.01)","('wear', 0.0088)","('patient', 0.0123)","('officer', 0.0141)","('price', 0.0154)","('design', 0.0093)"
4,"('area', 0.0142)","('network', 0.0133)","('score', 0.0144)","('damage', 0.0122)","('plane', 0.0113)","('candidate', 0.0129)","('stage', 0.0097)","('woman', 0.0109)","('country', 0.0105)","('charge', 0.0169)","('graduate', 0.0282)","('executive', 0.0137)","('product', 0.0092)","('political', 0.0079)","('program', 0.0148)","('taste', 0.008)","('season', 0.0209)","('budget', 0.0122)","('house', 0.0117)","('public', 0.0098)","('ask', 0.0084)","('medical', 0.0123)","('attack', 0.0139)","('sale', 0.0132)","('museum', 0.0093)"
5,"('plan', 0.0135)","('medium', 0.0128)","('point', 0.0118)","('problem', 0.0114)","('flight', 0.0104)","('election', 0.0127)","('dance', 0.0095)","('story', 0.0106)","('leader', 0.0105)","('judge', 0.0137)","('daughter', 0.0279)","('president', 0.0131)","('develop', 0.0073)","('history', 0.0067)","('college', 0.0148)","('eat', 0.0079)","('coach', 0.0134)","('cut', 0.0113)","('open', 0.0112)","('ask', 0.0094)","('tell', 0.0081)","('treatment', 0.0115)","('death', 0.0106)","('sell', 0.013)","('exhibition', 0.008)"
6,"('resident', 0.0118)","('video', 0.0123)","('play', 0.0116)","('worker', 0.0106)","('hour', 0.0096)","('party', 0.0124)","('perform', 0.0095)","('love', 0.0098)","('military', 0.01)","('legal', 0.0119)","('retire', 0.0278)","('chief', 0.0123)","('information', 0.0072)","('power', 0.006)","('education', 0.0142)","('restaurant', 0.0077)","('league', 0.0094)","('program', 0.0111)","('live', 0.0109)","('letter', 0.008)","('really', 0.0077)","('study', 0.0106)","('fire', 0.0097)","('stock', 0.0113)","('photograph', 0.0077)"
7,"('community', 0.0109)","('radio', 0.0118)","('lose', 0.0109)","('oil', 0.0104)","('water', 0.0091)","('state', 0.011)","('song', 0.0094)","('friend', 0.0093)","('war', 0.0082)","('file', 0.0101)","('mother', 0.027)","('report', 0.0119)","('design', 0.0067)","('war', 0.0059)","('parent', 0.014)","('pound', 0.0076)","('baseball', 0.0092)","('increase', 0.0109)","('city', 0.0102)","('report', 0.0079)","('man', 0.0075)","('hospital', 0.0099)","('arrest', 0.0096)","('share', 0.0104)","('painting', 0.0068)"
8,"('property', 0.0102)","('broadcast', 0.011)","('final', 0.0105)","('report', 0.01)","('weather', 0.009)","('leader', 0.0107)","('production', 0.009)","('family', 0.0093)","('international', 0.008)","('trial', 0.0095)","('receive', 0.0221)","('number', 0.0112)","('research', 0.0065)","('great', 0.0053)","('teacher', 0.0126)","('add', 0.0072)","('football', 0.007)","('state', 0.0102)","('door', 0.01)","('write', 0.0072)","('lot', 0.0075)","('cause', 0.0092)","('force', 0.0085)","('buy', 0.0101)","('color', 0.0064)"
9,"('construction', 0.0099)","('camera', 0.0099)","('hit', 0.0104)","('water', 0.01)","('trip', 0.0089)","('democratic', 0.0105)","('audience', 0.0083)","('child', 0.0084)","('agreement', 0.0073)","('state', 0.0091)","('yesterday', 0.0213)","('accord', 0.0105)","('available', 0.0063)","('religious', 0.0053)","('family', 0.0115)","('water', 0.0071)","('guy', 0.007)","('percent', 0.0097)","('drive', 0.0099)","('statement', 0.0067)","('put', 0.0073)","('care', 0.009)","('shoot', 0.0084)","('business', 0.0101)","('image', 0.006)"
